domain,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_1,logit_contribution_ratio_deep_vs_shallow_2,logit_contribution_ratio_deep_vs_shallow_4,logit_contribution_ratio_deep_vs_shallow_5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_10,inflow_from_11,inflow_from_6,inflow_from_7,inflow_from_8,inflow_from_9,mass_pos_frac,mass_neg_frac,signed_algebraic_connectivity,signed_spectral_radius,frustration_mass_frac,avg_clustering_pos,avg_clustering_neg,modularity_pos,modularity_neg,avg_path_length_abs,node_importance_entropy_pos,node_importance_entropy_neg,edge_score_gini_abs,normed_mass_pos_frac,normed_mass_neg_frac,normed_signed_algebraic_connectivity,normed_signed_spectral_radius,normed_frustration_mass_frac,normed_avg_clustering_pos,normed_avg_clustering_neg,normed_modularity_pos,normed_modularity_neg,normed_avg_path_length_abs,normed_node_importance_entropy_pos,normed_node_importance_entropy_neg,normed_edge_score_gini_abs,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0,srcc,pearson,cosine,residual_norm_L2,residual_norm_Linf,kendall_tau_c,kendall_tau_b,abs_srcc,abs_pearson,abs_cosine,abs_residual_norm_L2,abs_residual_norm_Linf,abs_kendall_tau_c,abs_kendall_tau_b,weighted_jaccard,binary_jaccard,spec_L2,spec_Linf,degree_dist_L1,mcs_approx,laplacian_spectral_dist,netlsd_dist,motif_counts_dist,degree_distribution_dist,ged_approx,trim_srcc_w,trim_srcc,trim_tau_b,trim_rbo,trim_sign_agree_w,inflow_from_5
#id,7.525524035164208,0.003949403297156,3.8097758054753914,3.8097758054753914,1.64790769758838e-05,1.134334683418274,0.9962182590410208,0.000515859777924,136.91857902525305,641.6786370945528,405.04845311076986,139.90017320366792,65.54552341331593,1641.4715261107146,0.0005309844303642,0.0005239113975878,0.1207601781989774,0.4074194162345658,8.456818613922223e-05,0.1638314574956894,1.805830478668213,22,8.348526409350892e-07,-1.0175540046585938e-06,5.719487096549205e-07,6209.394212190697,5.939875050668449,3.49111351174566,0.4064786535098494,97.55555555555556,0.0264823989419645,1406068590.6824634,3.323919019744562e-06,1.3954682484450434,3.5907362597057797,0.0061698618841475,0.0005716675482149,0.0024721837666,0.584928204258677,0.0001898675799518,-0.0002314187033452,0.0295827847553651,6182519.849802607,0.0007559471284015,0.0061698618841475,0.1300123249393671,0.4332545101642608,5.0757686942404234e-09,3.8097758293151855,3.072885274887085,0.5709313154220581,1.0,0.0,0.2360228945763268,0.280567492303126,0.6084898615280813,0.003965856315766,0.0047164303323565,0.0170896208627467,0.0851707386579233,0.999999999328234,0.0,8.350736847040981e-07,0.0005719981846212,0.0672465367588371,0.0272142643590106,0.0,0.4048847499444161,0.0,810037.0284399521,3.562142820683931,0.0,0.5837298754836053,0.999999999999,0.0,0.0005609739856587,0.3842488480884913,0.0672465368039437,0.0272142643590106,0.0,0.4048847499444163,0.0,1205.832397542842,3.5621428206839307,0.0,0.5837298754841024,41,95,0.1158536585365853,1.0,0.37239911290572,1535.5364277344484,7.00547082208121e-05,0.387028525267663,58,212,0.1282516636418632,1.0,0.2366436089395547,963.1172157893346,8.088538594512138e-05,1.3985750287080725,0.1071982230121324,0.0566346800364502,0.2769775766217638,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001188482565339,0.0014886138960719,0.000176178116817,8.456818613922223e-05,422,1.0,1.0,0.9999708973178686,0.0,0.0,0.999999994317254,1.0,1.0,1.0,0.9999708973178686,0.0,0.0,0.9999999876900384,1.0,0.999999999328234,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,49.99999999262303,0.9999999995865032,
time1_region0,7.567670467775864,0.003994392696768045,4.6747218127785946,4.6747218127785946,4.148804544001905e-05,1.3233494758605957,0.48305746543664235,0.0004395488458397434,73.52654575372807,241.50002737708326,176.58220241328186,75.79321239541714,40.43073139489368,328.6454887362932,0.0004593470939013855,0.00045248479025161714,0.07309360600897785,0.3934008047248181,9.473682439420372e-05,0.1924564242362976,1.789613962173462,22,1.9633402934914306e-06,-4.268958825890663e-07,6.524803719425439e-07,5857.911729544483,6.9589153918574,3.63665240503964,0.43980520959232317,22.25,0.026623498350814057,1249371033.74389,4.523997692847897e-06,1.0784719787810304,3.4723998825725797,0.005832296634183427,0.00047850126732836825,0.002432717172684609,0.536359395953867,0.0003124164252923048,-6.792978200750123e-05,0.016521292044549996,7851509.396086959,0.0007198809053559946,0.005832296634183427,0.07614148987333287,0.43684205412864685,4.783347495873613e-09,4.674721717834473,3.0191214084625244,0.6214908957481384,1.0,0.0,0.22421436656570426,0.2761848073904891,0.6086123008896177,0.0036329740010912037,0.003078130085325113,0.02296551707999216,0.08552627055348466,0.999999999432376,0.0,1.964373616099001e-06,0.0005017709820559828,0.05573029250682535,0.02754282119467228,0.0,0.4380211321563585,0.0,631247.1532824765,3.4309238311378967,0.0,0.5362100640877407,0.9999999999989999,0.0,0.0011150255497638882,0.284817236668861,0.05573029253840347,0.027542821194672277,0.0,0.43802113215635824,0.0,1112.086851649532,3.4309238311378967,0.0,0.5362100640881264,49,121,0.10289115646258504,1.0,0.36222079428643433,1198.6100606382527,6.20323537318254e-05,0.6416773640642827,57,174,0.10902255639097744,1.0,0.2180430356601586,976.2228622106331,7.52186005315667e-05,1.0663231467683985,0.14599974458365964,0.07874850295038034,0.22752827629592606,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.00013571244198828936,0.0017617297125980258,0.0001964185357792303,9.473682439420372e-05,427,0.564125449910205,0.8847864445746754,0.8848463033970514,0.00010544358739130633,5.037943628849462e-05,0.4492124695541776,0.44921247168139933,0.7023651474743116,0.8940411718520017,0.8959289564475746,0.00010097416076167883,5.037943628849462e-05,0.5220356135359362,0.5220356174895547,0.5460042463871678,0.46632124352331605,0.13722297706083783,0.09662942851226086,1.3202725874675618,,0.40455501695548585,0.03608515607836241,0.5072659553029312,0.08354952702396598,,0.6279977229985789,0.42380634866764827,0.29548878420760094,34.95996494908017,0.9999999997429927,
time1_region1,7.587608538733855,0.004514739848673344,3.8648436531380796,3.8648436531380796,2.250896818623005e-05,1.1700537204742432,0.8520318422693808,0.0005220294635799316,89.72852923754866,298.4808235074252,209.31208181972667,92.26810795051934,38.958946700634684,1065.5474935227207,0.0005428559202762528,0.0005313742107126984,0.08743555537646781,0.3847468671033353,8.161392179317772e-05,0.1885443776845932,1.8039188385009766,22,2.6455927860946407e-06,-2.18528917133981e-07,6.332873510488297e-07,5859.323264668914,6.445799520052556,3.5953836592657544,0.424683061256779,108.66666666666667,0.02789011045486145,919327852.3324125,4.53369023485868e-06,1.4610389389671217,3.6741840141273214,0.006203340798805524,0.000571245016888371,0.002526900584795322,0.5366055631966287,0.00042611428633549406,-3.5197516056004836e-05,0.01642884394809134,5707781.283911127,0.0007302220428883039,0.006203340798805524,0.09200798480787058,0.4186941981315613,5.591834106866145e-09,3.8648438453674316,3.068023681640625,0.6082678437232971,1.0,0.0,0.24295839639827152,0.2665837105837184,0.605384061561837,0.004064947419122709,0.002882105262533128,0.022543409805376946,0.09625438306474365,0.9999999994122152,0.0,2.7369338826832137e-06,0.0005714749078773152,0.08818391396819222,0.02851234118246691,0.0,0.4255142634533817,0.0,589054.7440175974,3.6476919970881623,0.0,0.5356959148514059,0.9999999999989999,0.0,0.001608728129855933,0.3359042633897138,0.08818391401993719,0.02851234118246691,0.0,0.4255142634533816,0.0,1002.160562581476,3.6476919970881623,0.0,0.5356959148518249,39,89,0.12010796221322537,1.0,0.3713682359537702,1224.4814781028542,7.897528410446648e-05,0.42636357017026466,55,187,0.1259259259259259,1.0,0.22617066600957816,782.0972495186384,0.00010070368283796769,1.3182269446491859,0.12770474259027487,0.06820758749715108,0.2995207647296814,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.00011957405513385311,0.0017013028264045715,0.00018310853920411319,8.161392179317772e-05,402,0.5686311310799732,0.9459126639786848,0.9459674214419737,6.42188491387507e-05,1.7941396436071955e-05,0.448996354588177,0.4489963554383736,0.7009071982004924,0.9598098717618653,0.9598220302621452,5.574078280376038e-05,1.3568982467404567e-05,0.519501142680919,0.5195011461232197,0.6187048380379903,0.5202952029520295,0.05935617776763366,0.0391527773538595,1.3175266304572777,,0.4922776543322614,0.04010206973773321,0.6314995573296526,0.06781018901441392,,0.6230634473732373,0.4148489073936251,0.28601806711392724,40.691526425181635,0.9999999997376394,0.0022873823026681754
time1_region2,7.467368151603672,0.005336131900548935,4.85869501956108,4.85869501956108,3.348336485942127e-05,1.3763315677642822,0.21478458613660942,0.00041429613539423205,44.99536323126353,191.2010166764218,121.8542378203514,46.99362943605663,21.961214766160563,-991.7318122844401,0.0004425304706998645,0.00042756761290974055,0.03554368570768837,0.37690496798061424,0.0002250744728371501,0.22506652772426605,1.732862949371338,22,3.7976038140900196e-06,-1.4741197823874311e-06,1.6829633074536541e-06,5433.689299498811,6.545942754370707,3.677953995778176,0.41791160793323895,35.1875,0.019864099939796306,517934199.40091884,9.255850843036838e-06,0.973276238235422,3.3875182154901875,0.007176930728884067,0.0009828188151313367,0.002879663552109663,0.4802709643510627,0.00030502037853958426,-0.00011840007217583432,0.010857080397143334,6448450.746107874,0.0007434222397870391,0.007176930728884067,0.07893919006066782,0.6195849180221558,6.2380443033305255e-09,4.858695030212402,2.935929298400879,0.6364468932151794,1.0,0.0,0.1843740697238188,0.23665075201150787,0.6492874735132801,0.00789703052195765,,0.023889429955386923,0.08227531399786743,0.9999999996576869,0.0,3.845292603130312e-06,0.001049566934552449,0.07638974600911744,0.020531446414176216,0.0,0.415275826979428,0.0,316719.50869497965,3.3315801628451363,0.0,0.4867457408074275,0.9999999999989999,0.0,0.001316293709779181,0.3592804232424177,0.07638974603519023,0.02053144641417622,0.0,0.4152758269794278,0.0,925.2336123798555,3.3315801628451367,0.0,0.4867457408076563,49,172,0.14625850340136054,1.0,0.509622465049159,869.6581321655088,0.00010891053394129633,1.1058279784922838,48,118,0.10460992907801418,1.0,0.17362024747380306,961.552644812303,8.284088839441779e-05,0.6467979669392216,0.1236870272842472,0.06592025375448111,0.1912297712832326,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.00024867881438694894,0.0029213030356913805,0.0003288252919446677,0.0002250744728371501,388,0.2622028854759614,0.570970497525155,0.5710755644175776,0.0003304882335732287,0.00018087757780449465,0.20069765125874553,0.20069765239918322,0.6209044380127735,0.6595616183512676,0.6667246480501529,0.00030832694497409934,0.00018087757780449465,0.44669416198170603,0.4466941674793603,0.27543499480424805,0.2898089171974522,0.0598200131719035,0.038930976495732544,1.1842192199476305,,0.5287908396859536,0.032392002151730465,0.557866867398827,0.05602507690941038,,0.516381787683609,0.368689691380763,0.2541233839408281,19.87919952043601,0.9999999998617394,
time1_region3,7.537695205890289,0.0041570342145860195,3.723007087571541,3.723007087571541,1.2664952464547241e-05,1.1481316089630127,0.7740109274327064,0.0005086696830277071,128.66536303183065,590.5231833835674,341.67302247655806,131.15315742237652,57.9626793173296,786.3611369170047,0.0005225714497552048,0.0005169354083758293,0.10995533365137217,0.3970241422361913,8.629672811366618e-05,0.16227121651172638,1.8020094633102417,22,1.0989052090595269e-06,-6.730483503485104e-07,6.38868731284622e-07,6274.460214809491,5.76576190110153,3.507950167992332,0.4354132269685912,72.25,0.025036783744899357,1445429291.9806857,3.313436647473953e-06,1.3738080673009092,3.5376204255048966,0.006456998641040575,0.0005631122268615246,0.0025672199572898467,0.5943339046261172,0.00023122333998085414,-0.00014161776425873835,0.02828489267686185,6869504.328178538,0.0006971883515098853,0.006456998641040575,0.11848582813810274,0.48754411935806274,5.414481307752794e-09,3.7230072021484375,3.049288511276245,0.5686884522438049,1.0,0.0,0.23713202208955247,0.2935875321941294,0.6084916720413838,0.0018410535851025836,0.004276680702212565,0.01416727454291714,0.07763578693425449,0.9999999993859442,0.0,1.0993417004022e-06,0.0005637000933993155,0.04343757859357966,0.02624783495659423,0.0,0.4358757603196852,0.0,732519.908798138,3.500206366404512,0.0,0.5908449761692796,0.999999999999,0.0,0.0006750571234158745,0.3461432995584406,0.04343757862020932,0.02624783495659423,0.0,0.43587576031968495,0.0,1192.9207976381824,3.5002063664045115,0.0,0.5908449761697324,42,93,0.10801393728222997,1.0,0.2880741840321891,1629.5509508314426,5.0385931103900036e-05,0.4603444913626047,59,220,0.12857977790765635,1.0,0.2364397262538496,921.5031424631004,7.87949500506854e-05,1.3393454242551996,0.10015504219109789,0.05271748190789581,0.21756541909438784,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.00012464425526559353,0.001628516591154039,0.00018839292170014232,8.629672811366618e-05,432,0.664638114318169,0.9457707473687197,0.9458189627053369,6.44495739537306e-05,3.619394192355685e-05,0.5356849529309579,0.5356849559746819,0.7390032657993798,0.9485869684244821,0.9494594399949887,6.233744394909595e-05,3.619394192355685e-05,0.5572931309819741,0.5572931373143079,0.6969277074695112,0.6143667296786389,0.10315866647049653,0.0629491783643194,1.3364021685879757,,0.21066833416822697,0.016422135829505014,0.4982737709326098,0.03385995448767046,,0.6925119996578172,0.5005145747961227,0.345461869255268,41.77077940801624,0.9999999996785033,
time2_region0,7.55181081431499,0.004549552220851183,4.961427866884461,4.961427866884461,5.257034456462861e-05,1.3243471384048462,0.3822201184828532,0.0004561238242530852,56.369772490011364,193.58309597103417,136.77192618896865,58.30661806111306,33.22100042999285,674.6640115329582,0.00048031763037670316,0.000473024998910887,0.06366987742046328,0.39535251591517573,0.00012910547957289964,0.1968841254711151,1.7726423740386963,22,2.859430003540278e-06,-6.119893505246242e-07,8.582824425552036e-07,5943.750843359417,6.323892232178789,3.6693538225717774,0.4640416284941389,40.666666666666664,0.02335490805334136,931604978.5474398,5.264013118956981e-06,1.04478939720245,3.393022166627148,0.0066396386784736295,0.0006176599976018592,0.0026967125701302915,0.5247995339388526,0.00037903997492189713,-8.112401196510574e-05,0.0150813883895894,7027910.98385541,0.0006977864185950698,0.0066396386784736295,0.08187569839107231,0.37413063645362854,5.511409995051508e-09,4.961427688598633,2.979538917541504,0.635224461555481,1.0,0.0,0.20722664173556415,0.27440821122814174,0.6160046475014741,0.004512886940819257,,0.02529442727227578,0.07977982705728914,0.9999999995083323,0.0,2.8823619651807637e-06,0.0006583934629108119,0.08121598700962143,0.02413792934892603,0.0,0.46170764558124533,0.0,490528.4986568431,3.3426673761772308,0.0,0.5288819613768302,0.9999999999989999,0.0,0.0014171641579184423,0.3237107721779484,0.08121598704947147,0.02413792934892603,0.0,0.46170764558124533,0.0,997.6830697175129,3.3426673761772308,0.0,0.5288819613771588,51,144,0.11294117647058824,1.0,0.3881232224332901,1084.2952318731043,8.261503180674678e-05,0.7617279899799773,54,155,0.10831586303284417,1.0,0.197454168337509,928.6301527264075,8.827561853198617e-05,0.9425050537259443,0.14788347814703923,0.07984566651297313,0.19414210859039915,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.00015918548160698265,0.002033894183114171,0.0002248783130198717,0.00012910547957289964,429,0.5324274422441653,0.8195596395619185,0.8196444144752566,0.00015440149412584522,8.490858454024419e-05,0.42189459168917387,0.4218945932873727,0.6894927824686427,0.8353573175989198,0.8384655535835244,0.00014831561099481425,8.490858454024419e-05,0.5085330158417858,0.5085330211383418,0.4830286955508699,0.42546063651591287,0.040154172220157935,0.029536075200501055,1.3405885802219704,,0.24503243984821071,0.005664248522094143,0.7181134206418442,0.08045137463223288,,0.6046155980444052,0.4151960793566437,0.29016473766017264,31.38299007513045,0.9999999997794854,
time2_region1,7.588503915639086,0.004415634088218212,3.919304372918892,3.919304372918892,1.961362283964263e-05,1.1909184455871582,0.7586119381281495,0.000499389103195802,101.01815121477347,319.9342527972193,232.9282151024883,103.76589583648274,44.26169481265554,1739.191989016336,0.0005181033630687892,0.0005079203050488701,0.08637793827043902,0.39287385049404766,8.760418131714687e-05,0.18423613905906677,1.7879647016525269,22,1.1862887818177187e-06,-9.988859579230369e-07,6.339810531780556e-07,5846.319291130367,6.814505370200008,3.6028552822919737,0.44503085605295334,72.1875,0.024187264208856283,1320230387.4420402,4.442921510510685e-06,1.4066850580677475,3.6599459306768756,0.005809975629201983,0.0005528151483086041,0.002415409162363774,0.5486218191174425,0.00019777761070856233,-0.00016653388062012414,0.01762177515512344,7918866.689566886,0.0007407221528500478,0.005809975629201983,0.09216512628832654,0.45074760913848877,5.52494139327564e-09,3.919304847717285,3.064875602722168,0.6004233360290527,1.0,0.0,0.22968179870282104,0.26321529058144205,0.6209030229823163,0.003606136021957726,0.003106109476239023,0.01952635192565837,0.08964308901238657,0.9999999994110875,0.0,1.187334194658418e-06,0.0005530089516087441,0.064493703951001,0.024807675593003526,0.0,0.4481717638159174,0.0,665625.0982789472,3.6234448456430055,0.0,0.5467802416815085,0.999999999999,0.0,0.0006992358861440602,0.32567385497978674,0.06449370398891763,0.024807675593003526,0.0,0.4481717638159177,0.0,1130.2615550350342,3.623444845643006,0.0,0.5467802416819227,43,97,0.10741971207087486,1.0,0.3452861194321237,1442.2480967718536,5.437085451903131e-05,0.4936253819192658,57,193,0.12092731829573934,1.0,0.2151940834707483,868.4045485283904,8.39780852128031e-05,1.2543314931995084,0.12602156244061297,0.06724813899392548,0.2552979791084249,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.00012825216981582344,0.0016980452928692102,0.00019151068408973515,8.760418131714687e-05,417,0.6127602502123007,0.9450383276041975,0.9450780358095947,6.951707042803194e-05,2.226640935987234e-05,0.4882935798674612,0.48829358264166867,0.7193751567320823,0.9525727202362678,0.9531754427963647,6.484056094322679e-05,2.226640935987234e-05,0.5382036462131659,0.5382036528384322,0.6262054701700451,0.519927536231884,0.17206737432612515,0.10218430219958295,1.217158357322518,,0.5606167290287816,0.06194561643302718,0.5867948476340027,0.06030472521927082,,0.6748892738554321,0.47020646756386997,0.32597097792370244,38.89989014464926,0.9999999997286154,
time2_region2,7.507431551515418,0.004147454164922237,5.196925768603269,5.196925768603269,3.8347292047546944e-05,1.3111913204193115,0.24909548028126322,0.00035896381104405517,54.847006540944,250.44766827418306,167.65166460502573,57.04317074699647,23.83641794244666,271.1657818447678,0.00038027233444992703,0.00036945796942333686,0.044595138787245935,0.4291346476545338,0.00016790650261100382,0.2122403085231781,1.743499755859375,22,3.1113742069058876e-06,-1.6719682582250762e-06,9.389236487136161e-07,5607.130294923356,6.731918006632525,3.635621545624021,0.4540954885453403,126.8888888888889,0.016815915964112724,596997285.207199,6.4892076281922136e-06,0.9669386517835916,3.3235665880388585,0.00689201555708076,0.0007482726359489898,0.00273654369867011,0.5031703263187518,0.0003648762324170652,-0.00019607461498582796,0.012912696128906238,5090717.856191073,0.0007610005983272945,0.00689201555708076,0.08775122563717014,0.578302264213562,4.246946350150438e-09,5.196926116943359,2.9368202686309814,0.641977071762085,1.0,0.0,0.18493310493216905,0.27576404394994647,0.613404533152258,0.008413704998804051,0.004509987736217448,0.028223745494915728,0.06968398466785838,0.9999999995216783,0.0,3.1542089484146307e-06,0.0008057752857501255,0.05043926692770905,0.01775904144809444,0.0,0.4553361767130448,0.0,450693.5487804522,3.2631919794370634,0.0,0.5055317873693577,0.9999999999989999,0.0,0.0015087265952564693,0.38541980677044785,0.05043926695178481,0.01775904144809444,0.0,0.4553361767130448,0.0,942.2393885185118,3.2631919794370634,0.0,0.5055317873696901,49,159,0.13520408163265307,1.0,0.35954635986163663,916.4918050531022,0.00011453209629127089,1.0040246494511882,45,119,0.1202020202020202,1.0,0.21493547722624637,906.5255012900168,0.00010705177103468544,0.6951503998551504,0.15041247534683097,0.08132217229083873,0.2163740039251544,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0002064346190309152,0.002090643160045147,0.00026633014203980565,0.00016790650261100382,400,0.4017965098271939,0.7211643460362613,0.7211316069238961,0.0002141217805370529,0.00010722225852077827,0.31213294568060235,0.3121329471586913,0.6486320870596135,0.7477488788490592,0.7526733577757528,0.00020562444093602037,0.00010722225852077827,0.4709362261396472,0.47093623015238384,0.35014220316115974,0.33876221498371334,0.04144152648508186,0.02397667282981794,1.163511114125992,,0.5819506167665567,0.028329373513723107,1.0156627080163236,0.06926406926406926,,0.5237187925625013,0.34154263814266705,0.2388617725105964,23.994513897946895,0.9999999998072776,
time2_region3,7.521826852127501,0.00413189921528101,3.845890843160018,3.845890843160018,1.4542290273311664e-05,1.2035014629364014,0.7087417433054903,0.0004987108810097229,142.1702364466027,633.6173555422713,385.4092499017882,145.01553458544458,56.776597783064375,751.960130616983,0.0005123039502705762,0.0005066310984915834,0.10582144406314327,0.40573141521237327,8.237551810452715e-05,0.16256694495677948,1.790682315826416,22,1.9135166976587353e-06,-9.113658747686696e-08,6.426904308895747e-07,6279.417252859136,6.229769918946775,3.5368885041541858,0.4435048959185919,104.0,0.025743789992661532,1460482521.4952755,3.5990109208571766e-06,1.3255843086792882,3.5203632822430326,0.006477826380739003,0.0005508586144898233,0.0025792147097565814,0.5859353215804476,0.00039525698651986946,-1.882523025256716e-05,0.027421830758563623,7070482.62798327,0.0007434135426166118,0.006477826380739003,0.11378563813900733,0.4786546528339386,5.3050972503854155e-09,3.845890998840332,3.04093074798584,0.5727260112762451,1.0,0.0,0.23256518840628818,0.2852495818830247,0.617669463084441,0.0019840143503447767,0.004764059130127757,0.014764984477845853,0.07556789707421593,0.9999999993927721,0.0,1.914897681838498e-06,0.0005513585961193381,0.07630614310683183,0.026967792591190552,0.0,0.44616095603535283,0.0,726017.825594517,3.4896032546253863,0.0,0.5824652985115087,0.9999999999989999,0.0,0.0011627792739595526,0.33480031552989825,0.07630614315309073,0.02696779259119055,0.0,0.4461609560353529,0.0,1195.6266183436674,3.4896032546253863,0.0,0.5824652985119436,45,112,0.11313131313131314,1.0,0.369684159017137,1649.0753889811979,4.903780416548037e-05,0.5138406294069853,60,209,0.11807909604519774,1.0,0.2193120776550127,1013.5223446464635,6.561742725155588e-05,1.2758099940497742,0.10517468827162015,0.055506271538923145,0.20468348015414908,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001283397723454982,0.0016468281392008066,0.00019306555623188615,8.237551810452715e-05,443,0.6727437434913123,0.922703537344218,0.9227691461989469,7.925780793183819e-05,4.9149213737109676e-05,0.5430729959360574,0.543072997993298,0.7420208068985962,0.925815956903774,0.9270676865880123,7.716500144331244e-05,4.9149213737109676e-05,0.560153340173884,0.5601533438855529,0.6829159341062427,0.5959409594095941,0.05328726278942611,0.02842152553454358,1.4213075081864224,,0.3123889627561728,0.00501478468295715,0.4000199870634576,0.034759834049019736,,0.6952877301924985,0.5117196766664326,0.3533437355846777,40.34338093160256,0.999999999681871,
time2_region4,7.54468219792105,0.0064879958517849445,4.2217522993307135,4.2217522993307135,4.577522759063868e-05,1.266930341720581,0.5994566798721898,0.0005655133683082347,92.5215212908505,315.30014860570964,212.66612040716907,94.88093476748165,38.96440359215814,-3357.7424024278175,0.000586271538300126,0.0005775134749969324,0.06870259808733321,0.30945493873470153,9.599053009878844e-05,0.20385780930519104,1.7987010478973389,22,2.69284589620199e-06,-4.400343609659828e-07,1.0464932376497956e-06,6244.626537885869,6.017811314920079,3.7084909387651166,0.4280739043189232,57.6875,0.037533769456628695,768153228.1917645,6.528208122967003e-06,1.2031494591779637,3.6669592664573942,0.006226522138221818,0.000616269017327675,0.0024921040251076098,0.4933563053395437,0.0003155632245902387,-5.156576647816701e-05,0.014370973963233636,6555004.180900858,0.0007650131110233401,0.006226522138221818,0.07221796124754985,0.4546271562576294,7.309953087286658e-09,4.221752643585205,3.0582735538482666,0.6226496696472168,1.0,0.0,0.24503442023285454,0.2836275320361355,0.6180988487645419,,0.005010702745995508,0.016976745807353942,0.07628617064597318,0.999999999580114,0.0,2.705360809701139e-06,0.0006167657710154542,0.10704936221901566,0.03844768025984053,0.0,0.432768807127733,0.0,414954.32479403645,3.6367402187923217,0.0,0.4942215640264448,0.9999999999989999,0.0,0.0011359430495345429,0.2589712944253133,0.10704936226385713,0.03844768025984053,0.0,0.43276880712773313,0.0,988.2547972574655,3.6367402187923217,0.0,0.4942215640267029,45,127,0.12828282828282828,1.0,0.4805288919034715,1213.8904217914944,7.514850177315714e-05,0.5519458704892619,58,176,0.10647307924984876,1.0,0.18108144738785592,851.5777317322394,7.519321397502484e-05,1.1444047362846257,0.15182469661305611,0.08214842841738228,0.2750717139680273,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.00014127253962215036,0.002381598809733987,0.0002213823318015784,9.599053009878844e-05,424,0.28116297419261976,0.7000043070705974,0.7004678913900664,0.00017713120901772904,9.144293653662317e-05,0.21367027640010475,0.21367027761433863,0.6317477949898574,0.77537982308665,0.7796010083680105,0.00015527515557210375,9.144293653662317e-05,0.4561706511283364,0.45617065631164944,0.41501513751982466,0.3891625615763547,0.06967906721994672,0.03275348208470144,1.2516983546273048,,0.19313865604851038,0.005631070851005744,0.49770762558501797,0.03296871474399961,,0.4670601493991624,0.3116180206464768,0.21774329793794667,33.27674652401147,0.99999999980439,
