,domain,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_0,inflow_from_1,inflow_from_10,inflow_from_2,inflow_from_3,inflow_from_4,inflow_from_6,inflow_from_7,inflow_from_8,inflow_from_9,mass_pos_frac,mass_neg_frac,signed_algebraic_connectivity,signed_spectral_radius,frustration_mass_frac,avg_clustering_pos,avg_clustering_neg,modularity_pos,modularity_neg,avg_path_length_abs,node_importance_entropy_pos,node_importance_entropy_neg,edge_score_gini_abs,normed_mass_pos_frac,normed_mass_neg_frac,normed_signed_algebraic_connectivity,normed_signed_spectral_radius,normed_frustration_mass_frac,normed_avg_clustering_pos,normed_avg_clustering_neg,normed_modularity_pos,normed_modularity_neg,normed_avg_path_length_abs,normed_node_importance_entropy_pos,normed_node_importance_entropy_neg,normed_edge_score_gini_abs,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,inflow_from_11,inflow_from_5,model_id,AC,ANE,EMD,acc,f1,l2
0,time1_region0,6.790778725729391,-0.0003252442111261,-0.8293741570868981,1.7729508148597404,1.134118463141931e-06,0.6680653095245361,0.0142399630562054,0.5531455749773596,0.5531454643620297,0.8083350314423685,0.5831203809447143,0.9595298661857524,0.4227461137479834,6.753103519940851e-06,-1.6328391723163804e-06,0.0088024382642894,0.0109811828655191,1.949705256265588e-05,0.136219322681427,1.670996069908142,13,7.124856918532281e-07,-6.36849849450286e-08,1.1263004539591953e-07,2086.0838382481,3.8176576745496926,2.5307590115376484,0.2550969330020323,121.0,0.0203105516924092,626894642.4938364,1.403729236958883e-06,0.398024106223517,1.6068712732851531,0.0092479674796747,0.0003065421571551,0.0049518159274256,0.742997717509717,0.0009287472335414,-8.301538239408534e-05,0.1913802107781149,480920.37488063687,0.001829804652292,0.0092479674796747,0.3995872242382295,,4.1884570811667743e-10,2.296762228012085,2.1646616458892822,0.320540577173233,0.1227212991931248,0.8772787008068751,0.1201261441305736,0.1708524135360392,0.07017533334212,0.046046281246451,0.0842177132520196,0.0631824901668621,0.1025272739351932,0.2195619060412232,0.0862091826757358,0.0839261398699041,0.0733012659344513,0.3052300346359226,0.6947699629520524,7.705598337611413e-07,0.0003179991463869,0.1743364908604369,0.0143916428233076,0.0172545923318893,0.3361451069151832,0.3202730756722468,1822013.466317474,1.2749132012303326,1.5980963777811583,0.7491598486280391,0.3052300353718158,0.6947699646271056,0.001722942267332,0.7110339084394066,0.1743364912807528,0.0143916428233076,0.0172545923318893,0.3361451069151832,0.3202730756722467,814.8679269968753,1.2749132012303326,1.5980963777811583,0.749159848634141,29,57,0.1403940886699507,0.9310344827586208,0.0,1068.9375306535237,0.0001206376657261,0.626270143133148,2,1,1.0,1.0,2.0000000000000004,951.1297812235784,0.0021027624615298,0.0021027624615298,0.0052606168297657,0.0083023019515086,2.5017646671980915,32,67,0.1350806451612903,1.0,0.2269393780667097,998.3489248722304,0.0001010017597766,1.2766306537430063,6,7,0.4666666666666667,1.0,0.8392932285717105,944.170176650045,0.0005043499670378,0.0265065360812622,0.0289843354607607,0.0217580265092999,1.0934788073365074,-0.6927654163372242,,,1,0.1767876595258712,-3.3748550415039062,2.122859001159668,0.1846639165251152,0.053380511701107,231.32723526655963
1,time1_region1,6.754737977930523,0.0008501010597683,1.09356940458904,1.9312415572866035,1.0666548178051016e-06,0.6347358226776123,0.0195338672788521,0.5980588793492366,0.5980588335806482,0.9459802729265224,0.6226571731930016,1.1038216902789226,0.5336330375290596,1.2056047857811336e-05,1.0018787001797593e-05,0.0144526584156747,0.0662819792561977,7.180763350334018e-05,0.1266596168279647,1.754870057106018,13,7.196294878118832e-07,-2.8032586978491224e-08,1.8064515948918438e-07,1982.6825295966448,3.977821586444032,2.5300754009984745,0.273911718372171,144.0,0.0110278076278651,780843562.1208116,1.120213206308029e-06,0.4404427694522739,1.4814400195522797,0.0109464207290294,0.0003964839466664,0.0058322935662411,0.7704680529626186,0.0008627235071189,-3.360671321867709e-05,0.2596281119353349,651330.3921492462,0.0013429609287905,0.0109464207290294,0.4753224215786898,0.6483603119850159,6.708145844358526e-11,4.796679496765137,2.096682071685791,0.3024627864360809,0.977944802841942,0.022055197158058,0.0869157324370955,0.1218519747073197,0.081422835606407,,0.0665499687335169,0.0922180082329606,0.0970831284846867,0.1797995867627876,0.0581370624741915,0.1304149399050376,0.0878662485694228,0.6206567071887191,0.3793432908076923,7.221897636812565e-07,0.0003967895297037,0.3040595520007201,0.0084994988488488,0.0,0.410118554099083,0.1789686191797077,1779421.249449497,1.812489169515635,0.6762291460945425,0.7708959313275794,0.6206567084316029,0.3793432915673386,0.0013670491331518,0.7510917627248557,0.3040595526096085,0.0084994988488488,0.0,0.4101185540990831,0.1789686191797077,940.0392278999476,1.8124891695156355,0.6762291460945425,0.770895931332691,36,91,0.1444444444444444,1.0,0.183113627290082,1201.0040558176474,8.127376895277241e-05,1.1068399028800802,6,6,0.4,1.0,0.843899712853592,558.0191061221373,0.0007851228092135,0.043428287978962,0.0388582590398943,0.0326779873100938,0.8947683836562589,30,35,0.0804597701149425,0.9333333333333332,1.1099258474470625e-15,1744.577930782582,4.551852565675144e-05,0.7688540434801555,2,1,1.0,1.0,2.0,1216.9223247170626,0.0016434902699849,0.0016434902699849,0.0007588786555142,0.000983951177984,0.4617481888232903,0.961689374868583,0.0337867507300767,0.0508694957935922,1,0.201863944530487,-3.276573419570923,2.19686222076416,0.2154681841696844,0.0561092793941497,231.32723526655963
2,time1_region2,6.870237545123143,0.0003870433429256,0.5798331678935903,1.8761731502422647,3.994995097400533e-06,0.6086023449897766,0.0173394926799799,0.5662839843508182,0.5662839430842925,0.7575748860356394,0.8374632971174256,1.914147570322445,-0.243843014065299,1.5548823753874785e-05,-4.79245709072984e-06,0.0109404512981851,-0.0409944367888911,0.0001521133963251,0.1355180740356445,1.7088556289672852,15,1.1137028457263035e-06,-2.3878207792678347e-08,5.140221421904e-07,1742.380030575559,4.074757829935145,2.3028706821391114,0.2282350393553176,121.0,0.0141310975438175,335871176.0861406,2.1294416101023346e-06,0.2924807265368719,1.207892620410536,0.0128879892037786,0.0006786878467568,0.0067501942501942,0.794440020211065,0.0007836693220369,-1.6802162029073107e-05,0.2545123456875415,477319.5466520269,0.0014984051367858,0.0128879892037786,0.4775662040065936,-0.1862987130880355,3.962000172386127e-10,3.758729934692383,2.130316734313965,0.3281947076320648,0.7301958556120325,0.2698041443879675,0.0518392064412816,0.0921419971310783,0.1289460264368929,0.0429611046199803,0.0882773102062347,0.1139901816149729,0.0376114943510265,0.0637053202945762,0.13942312097685,0.0531519308682546,0.0307766033087675,0.5827367494190007,0.4172632492708471,1.1230121103941735e-06,0.0006911074122235,0.1143334933827564,0.0042102177592208,0.0103695648646796,0.3106853707845424,0.21052070285148,1301395.567173658,1.0922839085821487,1.1651743721220185,0.8003726425071686,0.5827367501818492,0.417263249817078,0.0013716385282598,0.8441133848851619,0.114333493532428,0.0042102177592208,0.0103695648646796,0.3106853707845421,0.2105207028514801,1065.501553243359,1.0922839085821487,1.165174372122019,0.8003726425111373,29,50,0.1231527093596059,1.0,0.1419871803241528,1213.4633665008496,8.015673274028926e-05,1.068605682994357,5,4,0.4,1.0,0.3821891802072686,970.6862090714196,0.0005150995196257,0.0210967017365581,0.0322803368050411,0.0287707967203367,1.5301129630658357,30,54,0.1241379310344827,1.0,0.1746426300862883,1727.0078924333918,7.80557297597598e-05,0.8015510543531655,6,10,0.6666666666666666,1.0,0.6459136397226746,1056.1674286981888,0.0008116219507908,0.0279879509208091,0.0080989681925137,0.0096688168983038,0.2893733884066579,0.5988554932778467,0.0718188980353936,0.1371960121559719,1,0.2236313074827194,-3.2212331295013428,1.910813331604004,0.1955168119551681,0.0365253202617168,231.32723526655963
3,time1_region3,6.813386331802191,7.763272151350975e-05,0.6559047303561831,1.7894970412812603,4.796424661890342e-07,0.6761376261711121,0.0249443759998963,0.8353622571135099,0.8353620379103028,1.1458658804494646,0.9297078049209376,1.7847345930788066,-2.32149452451087,6.114816837765602e-06,-3.8166483129487005e-06,0.0131311833255534,-0.0343385229154937,3.824013401754201e-05,0.1438731551170349,1.7626644372940063,13,4.836109899834532e-07,-2.9474070593817377e-08,3.1470812048103687e-08,1609.0756473612726,3.855246872966084,2.417244718527544,0.2556544163143385,126.88888888888889,0.0098300406540091,666089017.4072425,8.440473625544972e-07,0.520710619835087,1.702962262749492,0.013063063063063,0.000161109317455,0.0068182937035396,0.7341795335631177,0.0010385537844546,-6.329549724631411e-05,0.1451354834860241,310169.75613072707,0.0018125902649414,0.013063063063063,0.3459819841527961,0.2075119614601135,4.5507203561001575e-10,1.256505846977234,2.2450859546661377,0.3514372110366821,0.3984662760178877,0.6015337239821122,0.0880346664192926,0.0996156246722321,0.1224739567969702,0.0940080223164468,0.128364274679778,,0.0426661173202594,0.2035207015145951,0.0672528839413229,,0.1507612067085471,0.8150224900306613,0.1849775050122655,4.912285431425902e-07,0.0001591291231417,0.5423237567213313,0.0051170358253199,0.016169236978328,0.2639552649501558,0.5386500696513384,2600992.7785527785,1.3273761499034942,2.53678550815903,0.736633897324768,0.8150224940698039,0.1849775059289891,0.0020175002449119,0.6535512835986184,0.5423237594090153,0.0051170358253199,0.016169236978328,0.2639552649501556,0.5386500696513383,633.2994985032227,1.3273761499034942,2.53678550815903,0.7366338973397298,31,60,0.1290322580645161,1.0,0.281095820632024,655.0417052271832,0.0001609323354768,1.4776013890501254,2,1,1.0,1.0,2.0000000000000004,430.90972516476216,0.0046413433793708,0.0046413433793708,0.0198820747936531,0.0132359672765191,4.283689692519168,28,47,0.1243386243386243,1.0,0.2660870837591958,1133.5051529621762,0.000116906964535,0.4148270537032006,5,6,0.6,1.0,0.8115092979519275,507.1376887893375,0.0014893178292073,0.0347602837257326,0.0142028902771319,0.0306235220767377,0.4085953494855305,0.1666184637339999,,0.0913372120498481,1,0.1712253242731094,-3.3728578090667725,2.1771342754364014,0.178451691557452,0.0492309965193271,231.32723526655963
4,time1_region4,6.857927796331333,0.0006982058403082,1.511093122091386,2.2778788106392285,1.9985517951681686e-06,0.8070907592773438,0.0363139948824972,0.817438527530863,0.8174384306098454,1.081520676695073,1.2119803167842829,1.9772420370158017,0.5667881594749726,1.3202972397152736e-05,5.449587902717212e-06,0.0167394884789251,0.0215907254480098,4.588819865603e-05,0.1617575883865356,1.7184715270996094,11,7.41732294445409e-07,-4.1635305488053095e-08,8.70774684483063e-08,1902.2225878119025,3.593250770849644,2.6031337653220974,0.2723375212564828,72.25,0.0352514863098741,595174605.1656224,1.2405544771996556e-06,0.4700900755239903,1.764834799879006,0.0111147124760284,0.0002568010228138,0.0059320524436803,0.7145726124663795,0.0009404416830067,-5.278941706808669e-05,0.1399829654607199,469417.96001637913,0.0015728978959973,0.0111147124760284,0.3255977891751211,0.4978209435939789,8.304619769639031e-10,2.568957805633545,2.391265392303467,0.3863677084445953,0.8374480748322487,0.1625519251677513,0.113293030731293,0.1374211016540173,0.0450684081543718,0.0638570816612654,0.1575666056331369,0.0849321163873269,0.0262894404222802,0.0242033775653523,0.0788159333534987,,0.0879959221266353,0.825696107449382,0.1743038898330893,7.722668659745116e-07,0.00025007619513,0.0723740302646319,0.0328343386440451,0.0051909066659844,0.2640004008771812,0.4379790153290237,1617164.6920260808,1.7194733960847266,1.736272347009785,0.7118067701448865,0.8256961096923204,0.1743038903065721,0.0018951047112315,0.6136746200548169,0.0723740304612303,0.0328343386440451,0.0051909066659844,0.264000400877181,0.4379790153290235,659.0045927668061,1.7194733960847268,1.736272347009785,0.7118067701516474,34,75,0.1336898395721925,1.0,0.2761722560703058,815.119045576396,0.0001183479535102,1.4678396121200652,5,5,0.5,1.0,0.1873857359974113,917.2126366056502,0.0005837264911416,0.0283906043618882,0.0459911380920537,0.0298213599206434,1.6199422000960488,29,44,0.1083743842364532,1.0,0.1397152849518765,1461.87147670759,6.705249884821512e-05,0.3819522441307132,4,4,0.6666666666666666,1.0,0.8118289785303963,817.3570087468547,0.0009727004750249,0.0170352908456425,0.0063999861787913,0.015787329024225,0.3756898685664863,0.7556843351669466,0.0907712242755577,0.2030787887665569,1,0.1746233701705932,-3.323049783706665,1.882732629776001,0.1919191919191919,0.0503072775900363,231.32723526655963
5,time2_region0,6.816993333255308,-0.0003619732451625,-0.7255294768705718,1.6187592558617214,1.3343018849809596e-06,0.8353055119514465,0.0131010168296098,0.648528592278671,0.6485284600910395,0.8920324387527512,0.7314882109913304,1.1499481282686257,0.3899891536099105,7.160428999952728e-06,-1.7208132803148146e-06,0.0081217995138696,0.0095730613834958,3.110869147349149e-05,0.1250965595245361,1.647251844406128,13,7.237570515331808e-07,-1.3917309650743237e-07,1.6931709628325325e-07,2044.8863075188544,3.743405010564281,2.4617535546870224,0.2427842921928526,100.0,0.0189004243427545,423211711.6057011,1.1448200012135856e-06,0.3358638540821508,1.4775724780242483,0.011521592442645,0.0003793249047147,0.0057692307692307,0.7622424040595698,0.0008209681218426,-0.0001578660722553,0.2178551235851465,373099.0910104945,0.0012985859328555,0.011521592442645,0.4302737385193599,,6.402410823724836e-10,2.114039897918701,2.0915489196777344,0.2965859472751617,0.1051536906281715,0.8948463093718284,0.1082118874284507,0.2038624596036425,0.0768494416364643,0.0554503431499695,,0.0836314029541041,,0.2625842172044669,0.0757899459512509,0.0763442575832988,0.071960911047396,0.318892241702024,0.6811077563034368,8.472679395657866e-07,0.000402842196345,0.1304348315489785,0.0065353967471577,0.019135007969498,0.3243136739695447,0.2526710896962161,1495920.8332423356,1.1700329293996818,1.448712420324979,0.7674359569515196,0.3188922423377304,0.6811077576612141,0.001601172508401,0.7612938244095462,0.1304348318089982,0.0065353967471577,0.019135007969498,0.3243136739695447,0.2526710896962159,791.5735222061846,1.1700329293996818,1.448712420324979,0.7674359569568686,31,57,0.1225806451612903,0.935483870967742,-2.220446049250357e-16,1430.0903341758717,8.224659920847494e-05,0.6521225823864011,0,0,0.0,0.0,0.0,,0.0,0.0,0.0023408649414512,0.0035767695675119,2340864941.4512105,32,63,0.127016129032258,1.0,0.2349284477300409,1190.8397357359206,7.132641453157594e-05,1.2757073063160866,6,7,0.4666666666666667,1.0,0.767512835356334,1307.1273806324605,0.0003781929718832,0.0200840492622102,0.0237021660761998,0.0179630787777419,1.1801487721301993,-0.8202309907886945,,0.0935270208694067,1,0.1738366782665252,-3.3858203887939453,2.145021915435791,0.156760024178924,0.0488462373614311,231.32723526655963
6,time2_region1,6.734145362403512,0.0004511856823228,0.8380257636071018,1.6912217341574936,5.367882920381817e-07,0.6040835380554199,0.020196526125603,0.9144270606459654,0.9144267880468304,1.1717767667589185,1.0655138484990827,1.9019151669115808,0.9454935243686632,6.4165728925758e-06,5.282522471006246e-06,0.0125099794829328,0.0558138843573455,5.014561247662641e-05,0.1210360378026962,1.746371507644653,13,4.890441590394822e-07,-6.3803374152915585e-09,7.237991995280899e-08,1861.991694185606,4.169819884924179,2.374274855965538,0.2620042661795689,100.0,0.0181293319091085,558869120.6579832,8.103953901655014e-07,0.320721643522084,1.355861006266969,0.0149359886201991,0.0002514730081887,0.0072193285489684,0.7784465208921139,0.0009534820421873,-1.2439623167583773e-05,0.2751357116999401,286645.86139952973,0.0015800156860177,0.0149359886201991,0.4902931320068348,0.6136466860771179,2.8058444456746656e-11,3.859015703201294,2.057711124420166,0.291755199432373,0.9818007541973518,0.0181992458026482,0.0796586303323406,0.0837266597667423,0.066839733092367,0.0459573533246669,0.0448228626561951,0.0516811415079828,0.0655321387315226,0.2442735332746197,0.0999935621823773,0.0577687455786587,0.118721928296873,0.6162803962244267,0.3837196004149523,4.933121595977742e-07,0.0002525676325201,0.247003979191221,0.0155578926008039,0.0029762165472257,0.3503782395208515,0.183868907096095,2202843.6188376267,1.6406521886933385,0.6702401924439079,0.7776909373699585,0.6162803982948515,0.3837196017040776,0.0015480521850785,0.7925770078761567,0.2470039800210432,0.0155578926008039,0.0029762165472257,0.3503782395208515,0.183868907096095,701.9721643361795,1.6406521886933385,0.6702401924439079,0.7776909373797809,29,73,0.1798029556650246,1.0,0.2567324071613254,839.096369661249,0.0001351846341738,1.11122187597958,7,9,0.4285714285714285,1.0,0.62271455067233,730.2744544895452,0.0006760957301528,0.044249354259789,0.0308446099030858,0.0260003355424993,0.6970635033902742,25,32,0.1066666666666666,0.72,7.972963278193037e-17,1093.7426402476335,9.236997523968235e-05,0.7798576122356106,2,1,1.0,1.0,2.0000000000000004,1609.0439784677735,0.0012429741055956,0.0012429741055956,0.0008694818066263,0.0011119118775042,0.6995172326697435,0.9451674785716708,0.0568819851136414,0.0638003564743529,1,0.1776099503040313,-3.350341558456421,2.164884328842163,0.1474906111300785,0.0535211637616157,231.32723526655963
7,time2_region2,6.75278567031343,-0.0003087971999775,-0.1824838400880876,1.366960845839852,8.170910064109194e-07,0.6816176176071167,0.0088855895167214,1.0130644577203662,1.013064257029818,1.712309400035025,1.5153091742494271,3.050707983130068,0.676465559647089,1.2799760476411848e-05,-6.9244923608380304e-06,0.0091169960072907,-0.2119408666267395,0.0002233657432952,0.0959748029708862,1.7215758562088013,17,8.714360537154129e-07,-4.782644236609472e-08,8.822438446609096e-07,1884.950500046249,4.050946363726754,2.12874878329438,0.175625457405736,132.25,0.0087083751636456,484364005.5496006,1.4197532676315329e-06,0.2055337168927653,0.9732181905434848,0.0129143214509068,0.000894360009789,0.0065230742235479,0.8431791087638677,0.0006207490498534,-3.4068149057800445e-05,0.4476614676100112,679972.4546878742,0.0010113312313744,0.0129143214509068,0.6370784436678383,-2.479632377624512,9.507399312269627e-10,-3.5341365337371826,1.6949725151062012,0.2184271365404129,0.1114681502163264,0.8885318497836735,0.0554240678448752,,,0.0608280043556736,,0.1117306256780361,,0.1914066809103601,0.0649505317021439,0.3021683451620959,0.0891282088070421,0.5274459982183012,0.4725540007124577,8.844781155810335e-07,0.0009096759955959,0.0943524140371435,0.0004403859949962,0.0086831410297933,0.0981555930860393,0.2942412281956093,1632758.0533984478,0.3971278463145395,1.4222248266224833,0.8448645905121357,0.5274459987817075,0.4725540012172293,0.0008895997165112,0.9149435057165304,0.0943524141379287,0.0004403859949962,0.0086831410297933,0.0981555930860392,0.2942412281956091,1623.3579434277303,0.3971278463145394,1.4222248266224833,0.8448645905153818,32,46,0.0927419354838709,1.0,0.1244539498681775,2650.6061932292264,3.6749607477720847e-05,1.0454694855144586,3,2,0.6666666666666666,1.0,0.9999999999999996,2290.9960627001387,0.0004364913656034,0.0023339177412607,0.0019156074098575,0.0018248763625258,0.8207690339689563,33,68,0.1287878787878787,1.0,0.2283706380982741,1849.310923975965,4.446374400710998e-05,0.8973273659049388,7,10,0.4761904761904761,1.0,0.4489784908767912,2008.6973532735556,0.0002571189617491,0.0223900618805061,0.0143239770695604,0.0153354840536046,0.6397470961003253,-0.7640817211443515,0.0566870351032374,0.1231005682814106,1,0.1682232171297073,-3.375201463699341,2.0662553310394287,0.1276513690705746,0.0437045320868492,231.32723526655963
8,time2_region3,6.814430006973756,-1.2169038200227078e-05,0.2872673271920739,1.7194991299675308,2.2523931875184647e-07,0.6974939107894897,0.026365270796151,1.019542222660197,1.019542060562828,1.3677161091497054,1.5187585266438548,2.673911318550403,14.951585426272208,6.380355571877772e-06,-4.40376879851101e-06,0.0142907499570113,-0.0562830611635515,3.665102121885866e-05,0.1391090601682663,1.7912378311157229,13,4.134402914996447e-07,-3.591280648416167e-08,3.23633789371665e-08,1706.7637085403685,4.259945759808179,2.448464821774108,0.2543893830488548,110.25,0.0209308799567442,849949509.5119787,1.0696646434066292e-06,0.4258117733316036,1.6444272488642449,0.0124740124740124,0.000165765093335,0.0067476383265856,0.7435072633597395,0.0009260566268208,-8.044035828402016e-05,0.1623690834702713,379462.0827807168,0.0023959204003902,0.0124740124740124,0.3712939071168287,0.0473307371139526,3.7969832833439904e-10,0.7404472827911377,2.1975085735321045,0.3439344465732574,0.2497118747208292,0.7502881252791708,0.0671787987997822,0.0871998237580662,0.0656069264857606,0.1736952481009926,0.0931313524679882,0.0507612750182818,,0.183305562906236,0.048744266660474,0.1096101648850177,0.1394581191577579,0.7137286550094324,0.2862713403794601,4.42699915106961e-07,0.0001756353977538,0.1767522684006338,0.0127059801066376,0.0093964747417293,0.2104231605211669,0.538439761699445,3167461.725192252,1.0376104468686247,2.3196712527379555,0.7534026943044532,0.7137286582997254,0.2862713416991728,0.0018527381232919,0.7350496038371346,0.1767522692154627,0.0127059801066376,0.0093964747417293,0.2104231605211667,0.538439761699445,756.8447041806904,1.0376104468686247,2.319671252737956,0.7534026943179153,31,55,0.1182795698924731,1.0,0.2269003402841441,921.3823580386902,0.0001104247254874,1.3601797850230029,2,1,1.0,1.0,2.0,878.970698678305,0.0022753887052291,0.0022753887052291,0.0127547150377028,0.0092747406355174,5.605510394066174,31,55,0.1182795698924731,1.0,0.1726076968010756,1052.244647625498,0.0001081035343558,0.5257218955087122,6,10,0.6666666666666666,1.0,0.8457755608873679,496.56850065018926,0.0015738293667406,0.0542321202140734,0.0160406902367884,0.0269141488613766,0.295778409058508,-0.1141145668123824,,0.0484872605594245,1,0.1708848029375076,-3.3754570484161377,2.1995348930358887,0.1655034895314057,0.0452848151326179,231.32723526655963
9,time2_region4,6.846564079276254,0.0007188105955719,1.2014077508318413,2.018816152030936,2.1991642711327586e-06,0.7688041925430298,0.018493088073221,0.439508533815292,0.4395084910408658,0.6141708187584906,0.5513850128473817,0.9604916295095516,0.3119386356234178,9.262290518563532e-06,3.5405250997655457e-06,0.0094738707150724,0.0152339361872964,5.3725772886537015e-05,0.146972045302391,1.637356162071228,1,1.8894847302175608e-06,-1.317675262277135e-07,1.426807354262602e-07,2200.366747687116,3.489409465365206,2.629191610087915,0.2610618461616643,121.0,0.026630263625119,324842981.9515644,1.4110735948003475e-06,0.4640370566018174,1.8336187271258728,0.0105691056910569,0.0003276883310227,0.0053258145363408,0.707242160282617,0.0019326903860608,-0.0001347805578987,0.1492805194932744,317581.0572014246,0.0014433397201436,0.0105691056910569,0.3351813729760711,0.5162481665611267,7.233548759977282e-10,2.8448805809021,2.2561399936676025,0.3552857339382171,0.9608916075967616,0.0391083924032383,0.1227168895152892,0.2433422152406511,0.1172447083952252,,0.1687315734032219,,,0.1501770343224879,0.053819277111179,0.0270740951129686,,0.7219915555496225,0.2780084425221755,1.87453313096366e-06,0.0003564351563883,0.1140492527810938,0.029190527923585,0.0028906511571904,0.2666893867280139,0.4022188454887865,1036902.03162143,1.7930973599291082,1.428844100846896,0.7155083035309965,0.7219915569410089,0.2780084430579396,0.0034379979872607,0.6537218948069499,0.1140492530008839,0.029190527923585,0.0028906511571904,0.2666893867280139,0.4022188454887866,565.3601948111045,1.7930973599291082,1.4288441008468962,0.7155083035355322,35,80,0.134453781512605,1.0,0.3157077827946454,853.9133021789818,0.0001010459020334,1.3166092872449209,6,7,0.4666666666666667,1.0,0.4537021298006638,1000.0688054168352,0.0005974153201117,0.0255245921203708,0.0400856504644907,0.029000929012649,1.570471734688326,31,54,0.1161290322580645,1.0,0.1810113744110243,1373.7472000466037,8.023653436028719e-05,0.5726316251882934,0,0,0.0,0.0,0.0,,0.0,0.0,0.0025315972587168,0.0044015284008359,2531597258.7168565,0.881193770411492,0.0763767696881329,0.163234326726133,1,0.1906004250049591,-3.29850697517395,1.8772187232971191,0.1846846846846846,0.0611134581267833,231.32723526655963
